game_number,seed_decimal,pest_seat,starting_deck,terminal,winner,turn,action_count,protocol_defect,telemetry_refs
1,6660016068771281417,SEAT_ONE,MONO_RED_MADNESS,true,e1,12,265,null,703
2,-4139589792468706634,SEAT_ZERO,PEST_CONTROL,true,e0,15,345,null,1060
3,1998588852542826204,SEAT_ONE,MONO_RED_MADNESS,true,e0,7,141,null,424
4,718484881177075787,SEAT_ZERO,MONO_RED_MADNESS,true,e0,18,406,null,1237
5,7524655099681191593,SEAT_ONE,PEST_CONTROL,true,e1,23,509,null,1363
6,-6892342376218010140,SEAT_ONE,MONO_RED_MADNESS,true,e1,18,388,null,1166
7,4544063357793098919,SEAT_ZERO,MONO_RED_MADNESS,true,e0,14,298,null,824
8,172526489656479496,SEAT_ZERO,PEST_CONTROL,true,e1,10,225,null,806
9,-4048075176218254755,SEAT_ZERO,PEST_CONTROL,true,e1,12,252,null,730
10,-4008763202748494261,SEAT_ONE,PEST_CONTROL,true,e0,14,331,null,1011
