game_number,seed_decimal,seed_hex,pest_seat,pest_play_draw,starting_deck,terminal,winner,turn,action_count,protocol_defect,runtime_millis
1,-732397062409606731,0xf5d600c08c8929b5,SEAT_ZERO,PLAY,PEST_CONTROL,true,PEST_CONTROL,15,340,none,30011
2,4596979853245926030,0x3fcbc0d21859ca8e,SEAT_ZERO,DRAW,MONO_RED_MADNESS,true,MONO_RED_MADNESS,13,325,none,61801
3,4507032754122982316,0x3e8c32691c8d03ac,SEAT_ZERO,DRAW,MONO_RED_MADNESS,true,MONO_RED_MADNESS,9,189,none,5114
4,-5564966065980129261,0xb2c544d8f226c013,SEAT_ZERO,DRAW,MONO_RED_MADNESS,true,MONO_RED_MADNESS,9,222,none,6725
5,8476619641367786031,0x75a300a71bd3722f,SEAT_ONE,DRAW,MONO_RED_MADNESS,true,MONO_RED_MADNESS,21,465,none,1737974
6,1414160894548832567,0x13a01bd74ed4f137,SEAT_ZERO,PLAY,PEST_CONTROL,true,MONO_RED_MADNESS,8,185,none,6164
7,3302650432450662658,0x2dd55f11f3831102,SEAT_ZERO,PLAY,PEST_CONTROL,true,PEST_CONTROL,15,329,none,9246
8,341720040458009850,0x04be0890f821bcfa,SEAT_ONE,DRAW,MONO_RED_MADNESS,true,PEST_CONTROL,18,369,none,9320
9,-5747635901131759596,0xb03c4b99a6c26014,SEAT_ONE,PLAY,PEST_CONTROL,true,PEST_CONTROL,19,385,none,17852
10,-3699742829816830332,0xcca7df7f94782684,SEAT_ONE,DRAW,MONO_RED_MADNESS,true,PEST_CONTROL,16,339,none,12748
11,7583083738567727547,0x693c867bbb5ed9bb,SEAT_ONE,PLAY,PEST_CONTROL,true,MONO_RED_MADNESS,12,255,none,3480
12,-5906369554324289093,0xae085c2f025189bb,SEAT_ZERO,PLAY,PEST_CONTROL,true,PEST_CONTROL,19,436,none,17643
13,3514950241826136275,0x30c79c9f373860d3,SEAT_ZERO,PLAY,PEST_CONTROL,true,PEST_CONTROL,15,380,none,9564
14,3842885181253920113,0x3554abb63d40a571,SEAT_ZERO,PLAY,PEST_CONTROL,true,MONO_RED_MADNESS,12,284,none,27722
15,6311427428069810662,0x5796b1ce73c221e6,SEAT_ONE,PLAY,PEST_CONTROL,true,PEST_CONTROL,17,356,none,73441
16,-1491108298918688329,0xeb4e84e7015089b7,SEAT_ONE,DRAW,MONO_RED_MADNESS,true,PEST_CONTROL,12,285,none,7812
17,4669580447433488797,0x40cdaead2b61f99d,SEAT_ONE,DRAW,MONO_RED_MADNESS,true,PEST_CONTROL,20,387,none,11164
18,2752179294295495270,0x2631b47c8aab1266,SEAT_ZERO,DRAW,MONO_RED_MADNESS,true,MONO_RED_MADNESS,11,253,none,60232
19,4105628388144233595,0x38fa1f443718bc7b,SEAT_ZERO,DRAW,MONO_RED_MADNESS,true,PEST_CONTROL,18,391,none,17331
20,6462402248114406222,0x59af109afa8b834e,SEAT_ONE,PLAY,PEST_CONTROL,true,PEST_CONTROL,11,248,none,9480
21,-992781660344579861,0xf238ee5703a388eb,SEAT_ZERO,DRAW,MONO_RED_MADNESS,true,MONO_RED_MADNESS,9,182,none,7774
22,-1289506778599929880,0xee1ac06abe17c7e8,SEAT_ZERO,PLAY,PEST_CONTROL,true,MONO_RED_MADNESS,10,218,none,6546
23,8279720869557306922,0x72e77a43555a062a,SEAT_ONE,PLAY,PEST_CONTROL,true,PEST_CONTROL,15,306,none,31532
24,-4554198001461372596,0xc0cc3d0bfe19d94c,SEAT_ONE,PLAY,PEST_CONTROL,true,PEST_CONTROL,19,386,none,25517
25,-6860404425658278260,0xa0caf285d91ede8c,SEAT_ONE,DRAW,MONO_RED_MADNESS,true,MONO_RED_MADNESS,11,264,none,80904
26,-7068309785984030093,0x9de851b2fc012a73,SEAT_ZERO,PLAY,PEST_CONTROL,true,PEST_CONTROL,19,416,none,62322
27,-3750794017522638449,0xcbf280b6afe7218f,SEAT_ONE,PLAY,PEST_CONTROL,true,PEST_CONTROL,11,259,none,6651
28,-7901838964760946079,0x92570753c9155a61,SEAT_ZERO,PLAY,PEST_CONTROL,true,PEST_CONTROL,13,275,none,7450
29,-4070092933175538502,0xc784200aa33e8cba,SEAT_ONE,DRAW,MONO_RED_MADNESS,true,MONO_RED_MADNESS,13,269,none,7770
30,-5219400242073648556,0xb790f722269cc254,SEAT_ZERO,DRAW,MONO_RED_MADNESS,true,MONO_RED_MADNESS,9,174,none,53753
31,4961486274658274,0x0011a0720af57fe2,SEAT_ZERO,DRAW,MONO_RED_MADNESS,true,PEST_CONTROL,14,331,none,24505
32,-3078655684468158075,0xd5466af76589d185,SEAT_ZERO,DRAW,MONO_RED_MADNESS,true,MONO_RED_MADNESS,11,243,none,10457
33,5059307618337066103,0x4636457938688c77,SEAT_ZERO,PLAY,PEST_CONTROL,true,PEST_CONTROL,15,371,none,36419
34,-2904703119014970335,0xd7b06be72d24bc21,SEAT_ZERO,DRAW,MONO_RED_MADNESS,true,MONO_RED_MADNESS,15,362,none,13409
35,-5946696101573497423,0xad7917670e82edb1,SEAT_ONE,DRAW,MONO_RED_MADNESS,true,PEST_CONTROL,16,354,none,14179
36,-2058770259479906003,0xe36dc75b598fb92d,SEAT_ONE,DRAW,MONO_RED_MADNESS,true,PEST_CONTROL,14,291,none,233614
37,6718623573204494842,0x5d3d588b046b69fa,SEAT_ONE,DRAW,MONO_RED_MADNESS,true,PEST_CONTROL,16,375,none,152222
38,-3343120105487636534,0xd19ad9fa06f167ca,SEAT_ONE,DRAW,MONO_RED_MADNESS,true,PEST_CONTROL,18,383,none,11941
39,8290640892018664272,0x730e45f73119a350,SEAT_ZERO,PLAY,PEST_CONTROL,true,MONO_RED_MADNESS,16,390,none,27684
40,1356855089750109821,0x12d48483e43c6e7d,SEAT_ONE,DRAW,MONO_RED_MADNESS,true,PEST_CONTROL,24,561,none,50373
41,8851789986585421424,0x7ad7e01810c8a670,SEAT_ONE,DRAW,MONO_RED_MADNESS,true,PEST_CONTROL,20,475,none,75915
42,7742524024597294797,0x6b72f894270caecd,SEAT_ONE,PLAY,PEST_CONTROL,true,PEST_CONTROL,11,247,none,94339
43,-7445736929764600755,0x98ab6db62a5f944d,SEAT_ZERO,DRAW,MONO_RED_MADNESS,true,PEST_CONTROL,14,341,none,197025
44,-4087539278869089627,0xc74624aebd8d32a5,SEAT_ONE,PLAY,PEST_CONTROL,true,PEST_CONTROL,17,379,none,16150
45,8083107424683092545,0x702cf760698eea41,SEAT_ZERO,PLAY,PEST_CONTROL,true,PEST_CONTROL,11,282,none,9628
46,6344396672439742185,0x580bd328d6f0eee9,SEAT_ONE,PLAY,PEST_CONTROL,true,MONO_RED_MADNESS,14,323,none,66349
47,1397810286474485893,0x1366050cb4b2e085,SEAT_ONE,PLAY,PEST_CONTROL,true,PEST_CONTROL,15,365,none,13461
48,5876708504126753079,0x518e433f94fe0937,SEAT_ZERO,DRAW,MONO_RED_MADNESS,true,MONO_RED_MADNESS,11,321,none,15214
49,2899146021165779889,0x283bd5f22792cbb1,SEAT_ONE,PLAY,PEST_CONTROL,true,PEST_CONTROL,25,621,none,1919956
50,5987363842123421214,0x531763b126c8d61e,SEAT_ZERO,PLAY,PEST_CONTROL,true,PEST_CONTROL,13,336,none,152905
